Created_at;Fakultas;Tahun;Tahun Data;Anggaran;Serapan;id;kodeunit;namaunit;bulan;jumlah;tahun;created_at
18/09/2023 10:29;FKG;2021;01/01/2021;12078204075;10201100211;13;10200;FKG;1;244661148;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2020;01/01/2020;10834774500;10023901547;13;10200;FKG;1;244661148;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2019;01/01/2019;9933332188;9713613896;13;10200;FKG;1;244661148;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2023;01/01/2023;17093574138;8177689226;14;10200;FKG;2;838497785;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2022;01/01/2022;29691256306;14520690015;14;10200;FKG;2;838497785;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2021;01/01/2021;12078204075;10201100211;14;10200;FKG;2;838497785;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2020;01/01/2020;10834774500;10023901547;14;10200;FKG;2;838497785;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2019;01/01/2019;9933332188;9713613896;14;10200;FKG;2;838497785;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2023;01/01/2023;17093574138;8177689226;15;10200;FKG;3;1094738797;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2022;01/01/2022;29691256306;14520690015;15;10200;FKG;3;1094738797;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2021;01/01/2021;12078204075;10201100211;15;10200;FKG;3;1094738797;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2020;01/01/2020;10834774500;10023901547;15;10200;FKG;3;1094738797;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2019;01/01/2019;9933332188;9713613896;15;10200;FKG;3;1094738797;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2023;01/01/2023;17093574138;8177689226;16;10200;FKG;4;771951972;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2022;01/01/2022;29691256306;14520690015;16;10200;FKG;4;771951972;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2021;01/01/2021;12078204075;10201100211;16;10200;FKG;4;771951972;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2020;01/01/2020;10834774500;10023901547;16;10200;FKG;4;771951972;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2019;01/01/2019;9933332188;9713613896;16;10200;FKG;4;771951972;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2023;01/01/2023;17093574138;8177689226;17;10200;FKG;5;2572971691;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2022;01/01/2022;29691256306;14520690015;17;10200;FKG;5;2572971691;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2021;01/01/2021;12078204075;10201100211;17;10200;FKG;5;2572971691;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2020;01/01/2020;10834774500;10023901547;17;10200;FKG;5;2572971691;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2019;01/01/2019;9933332188;9713613896;17;10200;FKG;5;2572971691;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2023;01/01/2023;17093574138;8177689226;18;10200;FKG;6;1914847946;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2022;01/01/2022;29691256306;14520690015;18;10200;FKG;6;1914847946;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2021;01/01/2021;12078204075;10201100211;18;10200;FKG;6;1914847946;2019;18/09/2023 10:27
